n_codigo,x_nombre,n_estado
155,Cepea,1
156,Certus,1
157,Cesde,1
158,Cetemin,1
159,Ceturgh Peru,1
160,Charles Chaplin,1
161,Chio Lecca,1
162,Cibertec,1
163,Clorinda Matto de Turner,1
164,Columbia,1
165,Complejo Hospitalario San Pablo,1
166,Condoray,1
167,Continental,1
168,Corriente Alterna,1
169,Daniel Alcides Carrion,1
170,De Ciencias Multiculturales - CIM,1
171,De Comercio Exterior,1
172,De Crucero,1
173,De Emprendedores,1
174,De Emprendedores ISAG,1
175,De Optometria y Ciencias Eurohispano,1
176,Educacion Medica San Fernando,1
177,EF,1
178,El Buen Pastor,1
179,Elmer Faucett,1
180,Federico Villarreal - Chincha,1
181,Fibonacci,1
182,Francisco de Paula Gonzales Vigil,1
183,Hector Vasquez Jimenez,1
184,Huando,1
185,Iberoamericana,1
186,Idat,1
187,Idatur,1
188,ILC - Instituto Latino del Cusco,1
189,Inlog,1
190,Instituto de Investigacion Socioeconomico Latinoamericano - Intur Peru,1
191,Instituto de Profesiones Empresariales - Inteci,1
192,Instituto Peruano de Administracion de Empresas - IPAE,1
193,Instituto Peruano de Administracion de Empresas - IPAE Iquitos,1
194,Instituto Peruano de Arte y Diseño,1
195,Instituto Peruano de Publicidad,1
196,Instituto Tecnico de Administracion de Empresas - ITAE,1
197,Interamericano,1
198,Investigacion Ciencia y Tecnologia,1
199,Iscemp,1
200,Jhalebet,1
201,Jobs Capacity,1
202,Jose Carlos Mariategui,1
203,Jose Santos Chocano,1
204,Juan Bosco de Huanuco,1
205,Khipu,1
206,La Pontificia,1
207,Latino,1
208,Latino Barranca,1
209,Le Cordon Bleu Peru,1
210,Lilia Gutierrez Molero,1
211,Lima Institute of Technical Studies - LITS,1
212,Maria de los Angeles Cima's,1
213,Maria Elena Moyano,1
214,Maria Montessori,1
215,Mod'Art Peru,1
216,Nina Design,1
217,Nuestra Señora de Montserrat,1
218,Nuestra Señora del Carmen,1
219,Nuevo Pachacutec,1
220,Orson Welles,1
221,Otuzco,1
222,Padre Abad,1
223,Paul Muller,1
224,Peruano de Cine y Creatividad - EPIC,1
225,Peruano de Marketing,1
226,Peruano de Sistemas Sise,1
227,Republica Federal de Alemania,1
228,Ricardo Palma,1
229,Sabio Nacional Antunez de Mayolo,1
230,San Antonio,1
231,San Ignacio de Loyola S.A. - ISIL,1
232,San Ignacio de Monterrico - Sidem,1
233,San Jose del Sur,1
234,San Lucas,1
235,San Marcos,1
236,Santa Maria,1
237,Santa Rosa de Lima,1
238,Senati,1
239,Sergio Bernales,1
240,Sergio Bernales Garcia,1
241,Simon Bolivar,1
242,Sinergia,1
243,Tec,1
244,Tecsup N°1,1
245,Tecsup N°2,1
246,Toulouse Lautrec,1
247,Tupac Amaru,1
248,Virgen de Guadalupe,1
249,Wernher Von Braun,1
